subNum group counterBalancing date time trial block list task animacy alphabetical word preTimeFix preTimeWord RT resp acc 
1 1 1 20200122 145718 238 4 1 alphabetical inanimate non-alphabetical OZONE 516.700451 316.454846 209.095437 1 0
1 1 1 20200122 145718 239 4 1 alphabetical inanimate non-alphabetical PARADE 516.428686 316.732795 22.412266 1 0
1 1 1 20200122 145718 240 4 1 alphabetical animate alphabetical PELVIS 516.340261 316.672814 93.170338 1 1
1 1 1 20200122 145718 241 4 1 alphabetical animate non-alphabetical HOSTAGE 516.343971 316.584698 58.988443 1 0
1 1 1 20200122 145718 242 4 1 alphabetical inanimate alphabetical FERRY 516.528242 316.429181 9.074905 1 1
1 1 1 20200122 145718 243 4 1 alphabetical inanimate non-alphabetical MASK 516.628107 299.754234 455.413963 1 0
1 1 1 20200122 145718 244 4 1 alphabetical animate alphabetical CHERRY 516.582039 316.463191 0.179208 1 1
1 1 1 20200122 145718 245 4 1 alphabetical animate alphabetical PEAR 516.408899 316.553780 0.172406 1 1
1 1 1 20200122 145718 246 4 1 alphabetical inanimate alphabetical EQUATOR 516.462387 299.838949 398.678392 1 1
1 1 1 20200122 145718 247 4 1 alphabetical inanimate alphabetical CRADLE 516.635218 316.587280 0.130667 1 1
1 1 1 20200122 145718 248 4 1 alphabetical animate alphabetical BEETLE 516.430232 316.373529 0.172406 1 1
